,Modèle,perf1,perf2,perf3,perf4,perf5,perf6,perf7,perf. moyenne,perf. cumulée
0,GFDL-CM3,40.0,77.60000000000001,0.0,53.33,79.49000000000001,60.0,7.46,45.410000000000004,45.410000000000004
1,MPI-ESM-MR,37.5,54.169999999999995,88.89,31.430000000000003,68.24,0.0,24.38,43.51,45.04
2,CNRM-CM5-2,10.0,72.39999999999999,25.929999999999996,52.38,95.81,20.0,11.44,41.14,42.25
3,CNRM-CM5,12.5,79.69000000000001,3.6999999999999997,63.81,96.6,20.0,10.95,41.03,40.32
4,HadGEM2-AO,10.0,76.03999999999999,40.739999999999995,55.24,75.31,0.0,13.43,38.68,38.129999999999995
5,MPI-ESM-LR,17.5,51.04,74.07000000000001,33.33,71.03,0.0,18.91,37.980000000000004,37.45
6,CanESM2,12.5,81.77,0.0,50.480000000000004,82.89999999999999,20.0,9.45,36.730000000000004,36.1
7,MPI-ESM-P,15.0,54.690000000000005,59.260000000000005,35.24,72.86,0.0,16.919999999999998,36.28,35.68
8,CMCC-CMS,15.0,82.28999999999999,0.0,59.050000000000004,79.67,0.0,17.91,36.27,35.8
9,MRI-CGCM3,0.0,96.88,0.0,64.75999999999999,90.31,0.0,0.0,35.99,35.870000000000005
10,MRI-ESM1,0.0,94.78999999999999,0.0,62.86000000000001,91.19,0.0,0.0,35.55,36.41
11,bcc-csm1-1,35.0,52.080000000000005,0.0,50.480000000000004,82.37,20.0,7.46,35.339999999999996,34.47
12,IPSL-CM5A-MR,20.0,75.0,0.0,58.099999999999994,83.42,0.0,0.5,33.86,34.71
13,IPSL-CM5B-LR,5.0,66.67,0.0,76.19,88.48,0.0,0.0,33.76,35.46
14,GISS-E2-R-CC,5.0,71.35000000000001,0.0,76.19,76.7,0.0,2.4899999999999998,33.1,36.04
15,GISS-E2-H-CC,0.0,62.5,0.0,78.10000000000001,87.42999999999999,0.0,2.9899999999999998,33.0,34.77
16,ACCESS1-3,12.5,71.35000000000001,7.41,45.71,81.85,0.0,11.940000000000001,32.97,34.97
17,IPSL-CM5A-LR,0.0,73.44000000000001,0.0,68.57,86.39,0.0,0.0,32.629999999999995,34.88
18,GISS-E2-H,0.0,61.46,0.0,77.14,89.7,0.0,0.0,32.61,34.82
19,GFDL-ESM2M,25.0,66.67,0.0,20.0,77.84,20.0,16.919999999999998,32.35,35.410000000000004
20,GFDL-CM2p1,15.0,60.419999999999995,0.0,11.43,80.72,40.0,15.920000000000002,31.929999999999996,34.04
21,GFDL-ESM2G,25.0,57.809999999999995,0.0,22.86,79.93,20.0,10.45,30.86,33.09
22,ACCESS1-0,5.0,38.019999999999996,0.0,71.43,85.17,0.0,9.45,29.87,33.75
23,CMCC-CESM,30.0,37.5,0.0,45.71,75.13,0.0,9.950000000000001,28.33,33.31
24,NorESM1-M,2.5,70.83,0.0,29.520000000000003,69.55,0.0,9.45,25.979999999999997,33.339999999999996
25,NorESM1-ME,0.0,64.05999999999999,0.0,30.48,71.12,0.0,9.950000000000001,25.09,33.48
26,bcc-csm1-1-m,20.0,26.56,0.0,25.71,81.76,0.0,3.9800000000000004,22.57,32.769999999999996
